PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene
48.47,87.26,5.55,103.61,56.87,23.48347601937197,5.55,186.08,44.3,3.84,46.94,1.65
43.06,79.08,5.26,81.68,45.84,23.48347601937197,5.26,137.18,42.68,2.75,35.25,1.87
93.24,157.33,9.08,83.89,51.27,23.48347601937197,9.08,36.22,53.07,3.280840304500585,8.700972080037227,3.0701278234985114
92.26,135.81,12.09,76.33,51.02,23.48347601937197,12.09,31.8,53.65,3.280840304500585,8.700972080037227,3.0701278234985114
52.59,92.57,6.92,11.32,10.69,23.48347601937197,6.92,25.09,23.94,3.280840304500585,8.700972080037227,3.0701278234985114
54.42,102.4,5.67,25.45,16.65,23.48347601937197,5.67,26.19,29.22,3.280840304500585,8.700972080037227,3.0701278234985114
72.45,116.1,8.84,25.88,19.22,23.48347601937197,8.84,29.77,24.83,3.280840304500585,8.700972080037227,3.0701278234985114
64.25,121.71,10.97,34.29,24.92,23.48347601937197,10.97,73.34,12.43,3.280840304500585,8.700972080037227,3.0701278234985114
52.77,95.25,6.64,31.26,20.2,23.48347601937197,6.64,50.74,10.61,3.280840304500585,8.700972080037227,3.0701278234985114
43.95,85.68,11.4,45.51,30.71,23.48347601937197,11.4,73.27,19.15,3.280840304500585,8.700972080037227,3.0701278234985114
79.57,131.62,3.78,12.64,8.99,23.48347601937197,3.78,27.7,23.67,4.21,31.42,2.52
69.54,128.99,7.06,15.13,12.65,23.48347601937197,7.06,35.78,23.66,4.78,31.14,2.52
66.2,138.47,8.97,20.79,16.84,23.48347601937197,8.97,38.98,23.65,4.12,31.14,2.52
55.99,110.41,5.41,15.34,11.53,23.48347601937197,5.41,45.83,23.61,3.3,31.14,2.52
70.06,161.09,7.37,22.67,16.56,23.48347601937197,7.37,58.67,23.58,2.75,31.14,2.52
83.9,152.94,8.81,20.66,16.65,23.48347601937197,8.81,58.01,23.56,4.42,31.14,2.52
18.03,66.54,11.31,18.02,17.23,23.48347601937197,11.31,35.39,30.29,1.15,31.37,1.04
28.77,73.99,20.76,21.98,25.69,23.48347601937197,20.76,40.13,32.37,1.05,30.73,1.07
68.19,106.14,10.08,45.94,29.93,23.48347601937197,10.08,31.18,43.72,1.53,34.6,0.81
69.85,124.4,6.25,40.74,24.54,23.48347601937197,6.25,27.16,34.49143047551845,1.15,38.57,0.52
64.94,116.45,8.62,47.28,29.5,23.48347601937197,8.62,31.84,71.69,1.15,38.57,0.52
54.06,104.74,4.22,51.33,28.19,23.48347601937197,4.22,48.07,39.74,0.99,32.61,0.56
68.68,141.39,10.92,74.32,44.41,23.48347601937197,10.92,42.37,44.44,0.99,32.61,0.56
49.16,125.88,7.4,31.08,20.69,23.48347601937197,7.4,51.07,45.99,2.85,46.56,1.13
